Country,GDP (current US$),Trade (% of GDP),Unemployment Total (% of labor force)
United States,27360935000000.0,15.0,3.6
China,17794781986104.5,34.0,5.2
Germany,4456081016706.0,88.0,4.2
Japan,4212945159781.4,37.0,2.8
India,3549918918777.5,40.0,7.1
United Kingdom,3340032380668.0,62.0,4.1
France,3030904089607.9,61.0,8.0
Brazil,2173665655937.3,30.0,11.6
Canada,2140085567791.5,64.0,6.0
Russia,2021421476035.4,46.0,5.6
Australia,1723827215334.7,44.0,5.3
Mexico,1788886821046.8,78.0,3.5
Indonesia,1371171152331.2,43.0,5.0
South Korea,1638067245183.9,84.0,3.7
South Africa,349299291446.0,60.0,32.5
